ax=   1228, ay=    660, az=  15244, gx=  -3200, gy=    -53, gz=     95, t= 17
ax=   1188, ay=    640, az=  15164, gx=  -3200, gy=    -78, gz=     83, t= 100
ax=   1164, ay=    536, az=  15068, gx=  -3184, gy=    -65, gz=     78, t= 183
ax=   1152, ay=    696, az=  15164, gx=  -3200, gy=    -47, gz=    133, t= 266
ax=   1124, ay=    620, az=  15152, gx=  -3184, gy=    -55, gz=     83, t= 349
ax=   1232, ay=    668, az=  15060, gx=  -3168, gy=    -64, gz=     82, t= 433
ax=   1168, ay=    668, az=  15244, gx=  -3168, gy=    -55, gz=     99, t= 516
ax=   1224, ay=    716, az=  15032, gx=  -3184, gy=    -62, gz=    105, t= 599
ax=   1172, ay=    604, az=  15200, gx=  -3152, gy=    -53, gz=    116, t= 681
ax=   1120, ay=    688, az=  15112, gx=  -3200, gy=    -59, gz=     93, t= 765
ax=   1288, ay=    716, az=  15228, gx=  -3168, gy=    -41, gz=     80, t= 848
ax=   1212, ay=    568, az=  15128, gx=  -3184, gy=    -55, gz=     93, t= 931
ax=   1156, ay=    748, az=  15028, gx=  -3184, gy=    -77, gz=     91, t= 1014
ax=   1208, ay=    576, az=  15116, gx=  -3184, gy=    -66, gz=     73, t= 1099
ax=   1240, ay=    620, az=  15204, gx=  -3184, gy=    -60, gz=    100, t= 1183
ax=   1216, ay=    700, az=  15208, gx=  -3200, gy=    -62, gz=     37, t= 1267
ax=   1168, ay=    636, az=  15060, gx=  -3184, gy=    -36, gz=     93, t= 1351
ax=   1148, ay=    600, az=  15332, gx=  -3184, gy=    -68, gz=     91, t= 1436
ax=   1096, ay=    684, az=  15304, gx=  -3216, gy=    -48, gz=    106, t= 1520
ax=   1136, ay=    624, az=  15188, gx=  -3184, gy=    -38, gz=     84, t= 1604
ax=   1148, ay=    560, az=  15048, gx=  -3152, gy=    -57, gz=     93, t= 1688
ax=   1212, ay=    668, az=  15304, gx=  -3200, gy=    -36, gz=     93, t= 1773
ax=   1204, ay=    636, az=  15108, gx=  -3168, gy=    -69, gz=    107, t= 1857
ax=   1148, ay=    604, az=  15340, gx=  -3168, gy=    -71, gz=     88, t= 1941
ax=   1100, ay=    556, az=  15184, gx=  -3200, gy=    -74, gz=     87, t= 2025
ax=   1172, ay=    632, az=  15200, gx=  -3184, gy=    -79, gz=     92, t= 2110
ax=   1200, ay=    624, az=  15156, gx=  -3184, gy=    -53, gz=     83, t= 2194
ax=   1256, ay=    620, az=  15084, gx=  -3184, gy=    -44, gz=     96, t= 2278
ax=   1180, ay=    676, az=  15216, gx=  -3184, gy=    -36, gz=     87, t= 2363
ax=   1220, ay=    644, az=  15156, gx=  -3200, gy=    -73, gz=     76, t= 2447
ax=   1216, ay=    672, az=  15112, gx=  -3168, gy=    -58, gz=    107, t= 2531
ax=   1148, ay=    628, az=  15120, gx=  -3200, gy=    -77, gz=     82, t= 2615
ax=   1188, ay=    588, az=  15212, gx=  -3200, gy=    -44, gz=    122, t= 2700
ax=   1244, ay=    620, az=  15124, gx=  -3168, gy=    -39, gz=     92, t= 2784
ax=   1204, ay=    628, az=  15036, gx=  -3216, gy=    -68, gz=     93, t= 2868
ax=   1160, ay=    692, az=  15256, gx=  -3152, gy=    -78, gz=    104, t= 2952
ax=   1240, ay=    616, az=  15120, gx=  -3184, gy=    -75, gz=     99, t= 3037
ax=   1104, ay=    616, az=  15240, gx=  -3216, gy=    -58, gz=     85, t= 3121
ax=   1172, ay=    736, az=  15260, gx=  -3152, gy=    -70, gz=     99, t= 3205
ax=   1272, ay=    688, az=  15108, gx=  -3152, gy=    -51, gz=     99, t= 3289
ax=   1172, ay=    596, az=  15200, gx=  -3200, gy=    -47, gz=     76, t= 3374
ax=   1152, ay=    588, az=  15148, gx=  -3200, gy=    -63, gz=     66, t= 3458
ax=   1152, ay=    612, az=  15128, gx=  -3168, gy=    -67, gz=    109, t= 3542
ax=   1136, ay=    548, az=  15224, gx=  -3168, gy=    -44, gz=    137, t= 3627
ax=    424, ay=   2072, az=  15548, gx=  -3200, gy=   -180, gz=   -133, t= 3710
ax=   1312, ay=    620, az=  15024, gx=  -3200, gy=    -73, gz=     69, t= 3794
ax=   1200, ay=    548, az=  15132, gx=  -3168, gy=    -38, gz=     98, t= 3878
ax=   1028, ay=    636, az=  15348, gx=  -3216, gy=    -94, gz=     60, t= 3963
ax=   1288, ay=    636, az=  14856, gx=  -3216, gy=    -49, gz=    208, t= 4047
ax=   1336, ay=    680, az=  14908, gx=  -3184, gy=    -40, gz=     99, t= 4131
ax=   1168, ay=    704, az=  15020, gx=  -3184, gy=   -110, gz=     99, t= 4215
ax=   1072, ay=    656, az=  15232, gx=  -3184, gy=    -76, gz=     80, t= 4300
ax=   1096, ay=    620, az=  15176, gx=  -3184, gy=    -61, gz=    105, t= 4384
ax=   1264, ay=    656, az=  15124, gx=  -3184, gy=    -40, gz=     95, t= 4468
ax=   1092, ay=    656, az=  15208, gx=  -3168, gy=    -69, gz=     84, t= 4552
ax=   1224, ay=    660, az=  14956, gx=  -3168, gy=    -28, gz=    101, t= 4637
ax=   1124, ay=    624, az=  15212, gx=  -3184, gy=    -76, gz=     92, t= 4721
ax=   1236, ay=    640, az=  15324, gx=  -3184, gy=    -76, gz=     94, t= 4805
ax=   1284, ay=    644, az=  15172, gx=  -3184, gy=    -61, gz=     70, t= 4889
ax=   1232, ay=    688, az=  15280, gx=  -3200, gy=    -36, gz=     69, t= 4974
ax=   1240, ay=    704, az=  15296, gx=  -3168, gy=    -48, gz=     96, t= 5058
ax=   1224, ay=    596, az=  15136, gx=  -3216, gy=    -40, gz=     97, t= 5142
ax=   1172, ay=    704, az=  15080, gx=  -3184, gy=    -67, gz=    116, t= 5227
ax=   1248, ay=    620, az=  15096, gx=  -3184, gy=    -68, gz=     81, t= 5311
ax=   1300, ay=    612, az=  15100, gx=  -3216, gy=    -56, gz=    107, t= 5395
