ax;ay;az;gx;gy;gz;t
1844;-6540;13864;579;410;310;42865
1672;-6344;14160;302;613;-281;42950
1328;-6200;14308;278;156;162;43035
1512;-6608;14128;455;26;180;43120
1560;-6636;14068;474;117;-113;43206
1604;-6212;14380;622;141;-90;43291
1836;-6224;14348;913;325;-40;43376
1716;-5816;14172;1088;667;-438;43461
1436;-5332;14040;1153;673;0;43547
1260;-5152;14760;752;303;628;43632
1244;-4844;14768;739;305;1039;43717
1488;-5052;13948;-376;-254;1172;43803
1180;-4628;13228;-2676;-606;467;43888
1436;-3508;9576;-17378;1418;1995;43973
836;-14980;21372;-11953;873;2066;44058
476;-12756;12032;4191;-1036;-5;44144
860;-9624;11332;4325;-1386;-374;44229
1292;-8980;12336;3237;-1285;326;44314
1076;-9496;13460;3633;-1229;481;44400
1700;-8224;13676;4623;-1210;439;44485
1952;-6372;14012;4091;-1083;602;44570
2064;-5692;13588;3052;-1062;543;44655
2272;-5724;13744;1841;-1093;449;44741
2272;-5664;14308;1647;-955;507;44826
2528;-5320;14180;1622;-799;629;44911
2888;-4856;13868;415;-54;169;44997
2928;-5000;14584;29;151;-292;45082
2456;-5088;14416;212;182;-76;45167
2388;-5200;14268;-74;201;-204;45252
2196;-4892;14672;-276;17;-326;45338
2384;-4924;14732;-111;-801;43;45423
2824;-4896;14232;-254;-817;596;45508
3148;-5316;14240;-261;-567;457;45594
3416;-5268;14348;-205;-145;118;45679
3244;-5216;14180;-109;408;-78;45764
2816;-5176;14384;-89;359;-373;45849
2764;-5196;14356;-101;269;-3;45935
3160;-5160;14228;-334;286;-146;46020
2968;-5572;14144;-339;418;-198;46105
2808;-5612;14500;-159;798;-476;46190
2708;-5536;14600;429;1059;-763;46276
2508;-5296;14368;145;1091;-974;46361
2264;-4884;14732;-94;745;-526;46446
2220;-5052;14620;241;655;-193;46532
2084;-4452;14740;574;615;-326;46617
2504;-4988;14292;-558;-595;247;46702
2872;-6508;24752;15276;-147;-300;46787
1988;-2220;10504;21091;158;264;46873
3332;2892;12572;890;-945;636;46958
2836;2700;13368;-5383;271;12;47043
2720;508;16440;-6561;42;-343;47129
2712;-536;15376;-4626;267;-353;47214
2516;-1992;14864;-2624;404;-21;47299
2896;-2188;14500;-5711;669;-420;47384
2532;-3236;14652;-6299;983;-752;47470
2256;-4980;15728;-5300;676;-746;47555
2148;-5112;14912;-1729;556;-193;47640
2216;-5080;14256;-1777;414;136;47726
2264;-5488;14280;-1696;273;132;47811
1980;-6264;14420;-2394;444;109;47896
1964;-6316;14136;-1061;222;-26;47981
2140;-6392;14064;-329;146;287;48067
2036;-6392;14076;-44;176;74;48152
2092;-6408;14136;183;209;35;48237
2380;-6280;14056;252;182;3;48323
1688;-6216;14260;285;339;-230;48408
1924;-5996;14400;606;-13;432;48493
2512;-6104;14004;614;197;399;48578
2132;-5940;14120;670;514;-199;48664
1700;-5408;14160;59;561;-171;48749
1444;-3524;9020;-9066;1604;1352;48834
1120;-9568;11652;-19085;3561;3499;48919
-500;-14240;16424;1058;525;-1327;49005
536;-10032;11348;4093;-1586;174;49090
1380;-10124;12044;3549;-1279;230;49175
1260;-9268;12596;3425;-1444;84;49261
1320;-8376;13244;3973;-1131;539;49346
1776;-7380;13812;3963;-1180;629;49431
1988;-6452;13900;3452;-1086;359;49516
2104;-5780;13316;1955;-833;483;49602
2116;-6036;13808;698;-321;334;49687
2260;-6320;13764;-243;-403;72;49772
2348;-6252;14068;-68;-112;3;49858
2308;-6024;14192;105;-189;-12;49943
2760;-6320;13764;-183;122;-122;50028
2164;-6608;14316;-53;804;-615;50113
2000;-6020;14208;852;507;-745;50199
1984;-5236;14736;444;82;-305;50284
2256;-5568;14016;-292;431;-142;50369
2184;-5160;14316;-1058;47;-396;50455
2696;-6516;13656;-1486;-517;145;50540
2248;-7076;14388;-669;348;-311;50625
2708;-6776;13720;173;-169;336;50710
2624;-6136;14080;554;473;237;50796
2304;-6128;14200;314;890;-211;50881
1768;-6104;14176;285;1215;-376;50966
1468;-5932;13968;-307;678;21;51052
1608;-6452;14276;-471;259;147;51137
1732;-6440;14420;-111;180;80;51222
1852;-6140;14328;303;-72;69;51307
1948;-6284;15016;1406;-42;166;51393
